CONCISE NET LIST - 1  
ANA_IN+<0>               C1_2_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<0>               J6               A2       CONABC96-09 03 196 6921
ANA_IN+<1>               C1_3_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<1>               J6               C2       CONABC96-09 03 196 6921
ANA_IN+<2>               C1_4_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<2>               J6               A5       CONABC96-09 03 196 6921
ANA_IN+<3>               C1_5_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<3>               J6               C5       CONABC96-09 03 196 6921
ANA_IN+<4>               C1_6_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<4>               J6               A8       CONABC96-09 03 196 6921
ANA_IN+<5>               C1_7_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<5>               J6               C8       CONABC96-09 03 196 6921
ANA_IN+<6>               C1_8_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<6>               J6               A11      CONABC96-09 03 196 6921
ANA_IN+<7>               C1_1_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN+<7>               J6               C11      CONABC96-09 03 196 6921
ANA_IN-<0>               C2_2_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<0>               J6               A3       CONABC96-09 03 196 6921
ANA_IN-<1>               C2_3_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<1>               J6               C3       CONABC96-09 03 196 6921
ANA_IN-<2>               C2_4_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<2>               J6               A6       CONABC96-09 03 196 6921
ANA_IN-<3>               C2_5_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<3>               J6               C6       CONABC96-09 03 196 6921
ANA_IN-<4>               C2_6_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<4>               J6               A9       CONABC96-09 03 196 6921
ANA_IN-<5>               C2_7_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<5>               J6               C9       CONABC96-09 03 196 6921
ANA_IN-<6>               C2_8_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<6>               J6               A12      CONABC96-09 03 196 6921
ANA_IN-<7>               C2_1_1           1        CAPCERSMDCL1_1812-470NF,50V
ANA_IN-<7>               J6               C12      CONABC96-09 03 196 6921
B15<3>                   J9               22       CON34P-3M_2534_60
B15<3>                   JB2              56       TRENZ_TE0712_JB2
B15<7>                   J9               6        CON34P-3M_2534_60
B15<7>                   JB2              43       TRENZ_TE0712_JB2
B15<8>                   J9               2        CON34P-3M_2534_60
B15<8>                   JB2              37       TRENZ_TE0712_JB2
B15<10>                  J9               26       CON34P-3M_2534_60
B15<10>                  JB2              63       TRENZ_TE0712_JB2
B15<11>                  J9               14       CON34P-3M_2534_60
B15<11>                  JB2              52       TRENZ_TE0712_JB2
B15<12>                  J9               18       CON34P-3M_2534_60
